Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
Fox Corporation,FOXA,Communication Services,15.2,12.92,,15.2,12.92,,-6.88,-39.44,0.68,125.87,125.87,0.0,24.88,14.86,14.86,2.17,13.68,13.68,-8.6,-49.3,1406499968.0,99.0,2.97,70.87,64.01,25.32
Amphenol Corporation,APH,Technology,36.83,31.3,,36.83,31.3,,46.72,19.28,1.33,98.19,98.19,0.0,1.41,47.43,47.43,14.48,33.14,33.14,58.4,24.1,3563725056.0,61.0,67.01,308.69,396.88,37.83
Amcor plc,AMCR,Consumer Cyclical,8.74,7.43,,8.74,7.43,,61.92,-9.36,1.44,78.02,78.02,0.0,0.63,36.0,36.0,1.78,7.86,7.86,77.4,-11.7,149500000.0,578.0,-7.02,4.74,-2.48,25.44
Quest Diagnostics Incorporated,DGX,Healthcare,14.54,12.36,,14.54,12.36,,7.36,12.4,0.83,98.47,98.47,0.0,1.66,23.81,23.81,3.25,13.09,13.09,9.2,15.5,947875008.0,159.0,24.0,61.38,77.41,26.17
"PayPal Holdings, Inc.",PYPL,BFSI,25.12,21.35,,25.12,21.35,,5.76,-4.96,0.58,80.65,80.65,0.0,0.82,8.53,8.53,2.03,22.61,22.61,7.2,-6.2,4083500032.0,123.0,-40.31,-30.54,-84.33,17.06
"American Electric Power Company, Inc.",AEP,Utilities,12.58,10.7,,12.58,10.7,,8.16,5.36,1.57,82.27,82.27,0.0,2.36,20.49,20.49,2.37,11.33,11.33,10.2,6.7,-6953449984.0,274.0,32.97,89.61,94.65,22.42
"FedEx Freight Holding Company, Inc.",FDXF,Industrials,0.0,0.0,,0.0,0.0,,-3.76,9.6,0.0,5.19,5.19,0.0,1.5,33.15,33.15,0.0,0.0,0.0,-4.7,12.0,0.0,0.0,-0.13,0.0,0.0,32.32
Carnival Corporation Ltd.,CCL,Consumer Cyclical,26.69,22.69,,26.69,22.69,,4.24,-5.2,2.02,65.98,65.98,0.0,1.12,12.57,12.57,2.95,24.02,24.02,5.3,-6.5,1899374976.0,107.0,-4.78,63.16,12.75,25.44
McDonald's Corporation,MCD,Consumer Cyclical,20.34,17.29,,0.0,0.0,,7.52,5.52,0.0,77.34,77.34,0.0,2.57,23.15,23.15,-155.04,18.31,0.0,9.4,6.9,5952249856.0,265.0,-4.39,3.24,35.25,25.44
Alliant Energy Corporation,LNT,Utilities,11.31,9.62,,11.31,9.62,,4.0,3.92,1.6,94.15,94.15,0.0,2.7,24.54,24.54,2.72,10.18,10.18,5.0,4.9,-1202625024.0,267.0,25.96,66.75,62.76,22.42
Target Corporation,TGT,Consumer Defensive,22.02,18.71,,22.02,18.71,,5.36,-19.76,1.18,87.83,87.83,0.0,2.42,17.2,17.2,3.61,19.81,19.81,6.7,-24.7,3141250048.0,356.0,28.16,9.81,-38.27,23.56
RTX Corporation,RTX,Industrials,11.57,9.84,,11.57,9.84,,6.96,26.0,0.57,81.55,81.55,0.0,2.73,37.31,37.31,4.05,10.41,10.41,8.7,32.5,7233375232.0,147.0,36.55,121.45,159.39,32.32
Dow Inc.,DOW,Basic Materials,-0.2,-0.17,,-15.26,-12.97,,-4.88,9.6,1.17,74.08,74.08,0.0,38.89,13.53,13.53,1.31,-0.18,-13.74,-6.1,12.0,-675875008.0,505.0,0.84,-37.73,-41.22,29.1
Molson Coors Beverage Company,TAP,Consumer Defensive,6.74,5.73,,-18.08,-15.37,,1.6,28.48,0.63,112.75,112.75,0.0,3.92,7.97,7.97,0.74,6.06,-16.27,2.0,35.6,774062528.0,483.0,-18.82,-32.84,-10.17,23.56
Ciena Corporation,CIEN,Technology,15.46,13.14,,15.46,13.14,,31.6,1906.64,0.55,98.29,98.29,0.0,0.73,140.82,140.82,20.68,13.92,13.92,39.5,2383.3,700927872.0,0.0,427.22,914.07,631.79,37.83
"L3Harris Technologies, Inc.",LHX,Industrials,0.0,0.0,,0.0,0.0,,152.0,-4.88,0.35,89.81,89.81,0.0,1.73,32.8,32.8,2.94,0.0,0.0,190.0,-6.1,0.0,166.0,17.8,67.16,51.98,32.32
"T. Rowe Price Group, Inc.",TROW,BFSI,18.69,15.89,,18.69,15.89,,4.24,2.96,0.04,91.66,91.66,0.0,4.93,12.72,12.72,2.36,16.82,16.82,5.3,3.7,1880349952.0,439.0,19.87,24.09,-27.54,17.06
"Robinhood Markets, Inc.",HOOD,BFSI,21.46,18.24,,21.46,18.24,,12.08,2.16,1.4,74.12,74.12,0.0,3.05,54.72,54.72,10.9,19.31,19.31,15.1,2.7,0.0,0.0,20.62,1007.37,223.75,17.06
"Waste Management, Inc.",WM,Industrials,29.94,25.45,,29.94,25.45,,2.8,10.64,2.28,86.29,86.29,0.0,2.35,33.34,33.34,9.25,26.94,26.94,3.5,13.3,2136749952.0,154.0,1.53,44.04,74.5,32.32
International Paper Company,IP,Consumer Cyclical,2.68,2.28,,-16.04,-13.63,,10.72,9.6,0.66,99.55,99.55,0.0,1.58,14.52,14.52,1.39,2.41,-14.43,13.4,12.0,1711250048.0,477.0,-22.22,41.47,-15.28,25.44
PTC Inc.,PTC,Technology,34.4,29.24,,34.4,29.24,,17.36,215.12,0.36,104.71,104.71,0.0,1.02,11.96,11.96,3.73,30.96,30.96,21.7,268.9,986047232.0,0.0,-28.76,-11.44,-14.45,37.83
"Gartner, Inc.",IT,Technology,94.88,80.65,,94.88,80.65,,-1.2,13.84,52.93,122.06,122.06,0.0,0.55,13.48,13.48,145.95,85.39,85.39,-1.5,17.3,1064192896.0,0.0,-65.9,-59.74,-46.41,37.83
Sandisk Corporation,SNDK,Technology,39.3,33.4,,39.3,33.4,,200.8,9.6,0.02,81.97,81.97,0.0,1.5,59.52,59.52,18.75,35.37,35.37,251.0,12.0,2259500032.0,0.0,3758.91,0.0,0.0,37.83
Incyte Corporation,INCY,Healthcare,30.82,26.2,,30.82,26.2,,16.72,67.04,0.01,108.45,108.45,0.0,12.0,16.51,16.51,4.16,27.74,27.74,20.9,83.8,558867008.0,0.0,73.72,91.73,40.22,26.17
Masco Corporation,MAS,Industrials,8457.14,7188.57,,8457.14,7188.57,,5.2,16.0,122.3,106.09,106.09,0.0,2.09,20.49,20.49,-68.97,7611.43,7611.43,6.5,20.0,738499968.0,155.0,26.75,53.68,56.75,32.32
"Netflix, Inc.",NFLX,Communication Services,48.49,41.22,,48.49,41.22,,12.96,69.12,0.54,85.59,85.59,0.0,1.53,25.05,25.05,10.51,43.65,43.65,16.2,86.4,25993676800.0,0.0,-39.79,80.65,43.36,25.32
"Axon Enterprise, Inc.",AXON,Industrials,6.77,5.75,,6.77,5.75,,26.96,71.84,0.52,92.75,92.75,0.0,1.64,237.86,237.86,13.61,6.09,6.09,33.7,89.8,62617500.0,0.0,-25.57,206.82,237.88,32.32
Boston Scientific Corporation,BSX,Healthcare,14.66,12.46,,14.66,12.46,,9.28,80.0,0.42,95.14,95.14,0.0,0.55,18.89,18.89,2.59,13.19,13.19,11.6,100.0,2807124992.0,0.0,-56.53,-15.55,3.48,26.17
"Interactive Brokers Group, Inc.",IBKR,BFSI,23.56,20.03,,23.56,20.03,,13.44,18.32,1.52,92.56,92.56,0.0,2.47,39.2,39.2,7.28,21.2,21.2,16.8,22.9,0.0,38.0,58.07,362.59,481.34,17.06
Xylem Inc.,XYL,Industrials,8.72,7.42,,8.72,7.42,,2.16,11.6,0.18,98.14,98.14,0.0,1.68,29.38,29.38,2.51,7.85,7.85,2.7,14.5,959124992.0,146.0,-9.83,10.85,4.15,32.32
News Corporation,NWSA,Communication Services,6.52,5.55,,6.52,5.55,,7.04,-8.32,0.32,111.36,111.36,0.0,3.07,33.72,33.72,1.71,5.87,5.87,8.8,-10.4,1744000000.0,75.0,-9.3,39.67,9.12,25.32
Duke Energy Corporation,DUK,Utilities,9.66,8.21,,9.66,8.21,,9.04,9.6,1.61,70.87,70.87,0.0,2.74,19.91,19.91,1.89,8.69,8.69,11.3,12.0,-2246500096.0,329.0,10.5,63.24,57.48,22.42
Thermo Fisher Scientific Inc.,TMO,Healthcare,13.52,11.49,,13.52,11.49,,4.96,9.04,0.83,94.18,94.18,0.0,1.73,28.73,28.73,3.75,12.17,12.17,6.2,11.3,5520625152.0,36.0,25.02,3.59,2.66,26.17
Howmet Aerospace Inc.,HWM,Industrials,33.82,28.75,,33.82,28.75,,15.28,57.12,0.88,95.3,95.3,0.0,0.8,62.89,62.89,19.64,30.44,30.44,19.1,71.4,1192749952.0,18.0,50.02,466.91,718.82,32.32
Carrier Global Corporation,CARR,Industrials,9.91,8.42,,9.91,8.42,,1.92,-32.56,0.91,93.99,93.99,0.0,1.69,46.71,46.71,4.33,8.92,8.92,2.4,-40.7,849750016.0,137.0,-6.12,47.46,55.58,32.32
PG&E Corporation,PCG,Utilities,8.83,7.5,,8.83,7.5,,12.0,31.84,1.88,99.29,99.29,0.0,0.74,13.22,13.22,1.19,7.94,7.94,15.0,39.8,-5572125184.0,117.0,25.0,2.59,65.21,22.42
"Becton, Dickinson and Company",BDX,Healthcare,6.67,5.67,,6.67,5.67,,4.16,9.6,0.72,99.41,99.41,0.0,1.11,27.64,27.64,1.8,6.0,6.0,5.2,12.0,4531250176.0,266.0,16.26,-17.64,-9.82,26.17
"Intuitive Surgical, Inc.",ISRG,Healthcare,17.23,14.65,,17.23,14.65,,18.4,15.04,0.0,89.75,89.75,0.0,2.23,51.83,51.83,8.64,15.51,15.51,23.0,18.8,2254087424.0,0.0,-20.33,27.94,34.81,26.17
The Sherwin-Williams Company,SHW,Basic Materials,60.72,51.61,,60.72,51.61,,5.44,6.0,3.3,89.16,89.16,0.0,2.72,33.89,33.89,19.51,54.65,54.65,6.8,7.5,2140024960.0,91.0,1.79,41.38,34.79,29.1
"Analog Devices, Inc.",ADI,Technology,9.64,8.19,,9.64,8.19,,29.76,88.4,0.26,93.56,93.56,0.0,0.69,56.21,56.21,5.44,8.68,8.68,37.2,110.5,3868954624.0,117.0,55.97,108.48,143.88,37.83
"Ventas, Inc.",VTR,Real Estate,3.32,2.82,,2.14,1.82,,17.52,8.0,0.94,107.38,107.38,0.0,1.72,168.22,168.22,3.43,2.99,1.93,21.9,10.0,1483115264.0,216.0,46.83,120.18,89.41,33.16
AT&T Inc.,T,Communication Services,18.37,15.61,,18.37,15.61,,2.32,-9.04,1.25,69.32,69.32,0.0,1.44,6.93,6.93,1.31,16.53,16.53,2.9,-11.3,8849000448.0,539.0,-27.56,53.44,28.33,25.32
Gen Digital Inc.,GEN,Technology,39.88,33.9,,39.88,33.9,,21.6,212.16,3.16,100.37,100.37,0.0,1.53,16.99,16.99,6.11,35.89,35.89,27.0,265.2,1422249984.0,187.0,-11.4,55.09,6.76,37.83
Packaging Corporation of America,PKG,Consumer Cyclical,16.31,13.87,,16.31,13.87,,8.48,-12.4,0.95,101.54,101.54,0.0,1.81,28.91,28.91,4.6,14.68,14.68,10.6,-15.5,391424992.0,252.0,18.35,99.08,103.39,25.44
"The TJX Companies, Inc.",TJX,Consumer Cyclical,61.25,52.06,,61.25,52.06,,7.36,23.44,1.36,94.11,94.11,0.0,3.3,30.01,30.01,16.39,55.13,55.13,9.2,29.3,4314250240.0,124.0,23.24,94.17,143.52,25.44
Palantir Technologies Inc.,PLTR,Technology,32.59,27.7,,32.59,27.7,,67.76,260.0,0.02,65.73,65.73,0.0,1.86,145.28,145.28,36.68,29.33,29.33,84.7,325.0,1752997120.0,0.0,-7.06,746.2,423.91,37.83
The Progressive Corporation,PGR,BFSI,37.9,32.22,,37.9,32.22,,6.96,7.84,0.26,90.76,90.76,0.0,35.42,11.81,11.81,4.23,34.11,34.11,8.7,9.8,15501625344.0,599.0,-8.41,93.06,165.24,17.06
"Dominion Energy, Inc.",D,Utilities,9.79,8.32,,9.79,8.32,,18.48,-8.16,1.55,82.8,82.8,0.0,3.04,20.58,20.58,2.18,8.81,8.81,23.1,-10.2,-9948250112.0,383.0,23.58,56.06,15.63,22.42
"The Williams Companies, Inc.",WMB,Energy,19.66,16.71,,19.66,16.71,,7.2,20.0,2.0,89.63,89.63,0.0,2.3,32.08,32.08,7.0,17.69,17.69,9.0,25.0,-190250000.0,287.0,25.07,157.07,248.15,18.21
"Broadridge Financial Solutions, Inc.",BR,Technology,42.31,35.97,,42.31,35.97,,6.24,12.08,1.21,100.21,100.21,0.0,0.99,15.38,15.38,5.91,38.08,38.08,7.8,15.1,1187662464.0,271.0,-40.16,-6.22,-4.53,37.83
Aflac Incorporated,AFL,BFSI,16.47,14.0,,16.47,14.0,,22.32,3088.0,0.48,70.49,70.49,0.0,1.18,13.81,13.81,2.06,14.82,14.82,27.9,3860.0,4923125248.0,202.0,17.5,88.53,154.28,17.06
Morgan Stanley,MS,BFSI,16.39,13.93,,16.39,13.93,,13.04,25.52,5.02,86.97,86.97,0.0,2.57,19.38,19.38,3.23,14.75,14.75,16.3,31.9,0.0,187.0,48.83,180.26,178.59,17.06
GoDaddy Inc.,GDDY,Technology,398.21,338.48,,398.21,338.48,,4.88,4.8,16.22,105.59,105.59,0.0,0.68,14.03,14.03,49.47,358.39,358.39,6.1,6.0,1347612544.0,0.0,-50.44,20.03,-0.15,37.83
Huntington Bancshares Incorporated,HBAN,BFSI,8.39,7.13,,8.39,7.13,,26.88,-21.2,0.0,90.24,90.24,0.0,2.08,13.74,13.74,1.22,7.55,7.55,33.6,-26.5,0.0,347.0,1.82,92.36,59.48,17.06
GE HealthCare Technologies Inc.,GEHC,Healthcare,19.46,16.54,,19.46,16.54,,5.92,-24.72,0.97,94.26,94.26,0.0,1.85,15.72,15.72,2.8,17.52,17.52,7.4,-30.9,1483624960.0,21.0,-12.12,-14.63,0.0,26.17
"Wynn Resorts, Limited",WYNN,Consumer Cyclical,8.4,7.14,,0.0,0.0,,7.36,40.72,0.0,100.61,100.61,0.0,1.61,27.48,27.48,-35.68,7.56,0.0,9.2,50.9,356894624.0,104.0,-11.74,-5.11,-15.18,25.44
CDW Corporation,CDW,Technology,44.16,37.53,,44.16,37.53,,7.36,6.16,2.41,104.11,104.11,0.0,1.33,16.23,16.23,6.68,39.74,39.74,9.2,7.7,884099968.0,189.0,-24.8,-21.55,-19.05,37.83
"PepsiCo, Inc.",PEP,Consumer Defensive,43.88,37.3,,43.88,37.3,,6.8,22.24,2.45,80.95,80.95,0.0,1.55,22.64,22.64,9.23,39.49,39.49,8.5,27.8,8746250240.0,410.0,7.27,-12.83,13.3,23.56
BNY,BNY,BFSI,13.47,11.45,,13.47,11.45,,10.72,33.44,0.0,87.81,87.81,0.0,1.63,18.19,18.19,2.55,12.12,12.12,13.4,41.8,0.0,145.0,57.23,264.0,240.29,17.06
"Martin Marietta Materials, Inc.",MLM,Basic Materials,9.47,8.05,,9.47,8.05,,13.76,976.64,0.5,102.1,102.1,0.0,2.92,37.6,37.6,3.19,8.52,8.52,17.2,1220.8,841750016.0,55.0,7.75,34.17,77.08,29.1
The Walt Disney Company,DIS,Communication Services,11.01,9.36,,11.01,9.36,,5.2,-23.84,0.41,78.1,78.1,0.0,2.31,15.92,15.92,1.6,9.91,9.91,6.5,-29.8,3751375104.0,151.0,-19.21,15.53,-40.92,25.32
Synchrony Financial,SYF,BFSI,21.78,18.51,,21.78,18.51,,4.88,16.08,0.0,108.07,108.07,0.0,0.98,7.9,7.9,1.69,19.6,19.6,6.1,20.1,0.0,157.0,9.51,140.39,78.25,17.06
"The Hartford Insurance Group, Inc.",HIG,BFSI,22.74,19.32,,22.74,19.32,,4.88,33.12,0.23,96.42,96.42,0.0,0.12,9.7,9.7,2.04,20.46,20.46,6.1,41.4,5603250176.0,174.0,11.61,106.37,147.74,17.06
"AvalonBay Communities, Inc.",AVB,Real Estate,9.72,8.26,,9.72,8.26,,2.0,32.24,0.81,97.09,97.09,0.0,7.17,24.03,24.03,2.34,8.75,8.75,2.5,40.3,1392035584.0,367.0,-4.2,16.64,7.94,33.16
"Assurant, Inc.",AIZ,BFSI,18.02,15.31,,18.02,15.31,,9.04,72.96,0.38,98.38,98.38,0.0,2.16,14.32,14.32,2.37,16.21,16.21,11.3,91.2,2029737472.0,126.0,45.91,136.14,93.97,17.06
McKesson Corporation,MCK,Healthcare,7.49,6.36,,0.0,0.0,,4.8,29.76,0.0,96.01,96.01,0.0,1.54,20.49,20.49,-43.44,6.74,0.0,6.0,37.2,5657625088.0,42.0,6.93,91.77,326.2,26.17
Dollar General Corporation,DG,Consumer Defensive,18.91,16.07,,18.91,16.07,,2.72,9.92,1.79,102.36,102.36,0.0,1.7,16.71,16.71,2.95,17.02,17.02,3.4,12.4,1882562304.0,200.0,1.61,-24.66,,23.56
Lumentum Holdings Inc.,LITE,Technology,22.83,19.41,,22.83,19.41,,72.08,9.6,1.11,106.51,106.51,0.0,0.63,128.23,128.23,17.56,20.55,20.55,90.1,12.0,93350000.0,0.0,699.65,1193.41,769.95,37.83
"Church & Dwight Co., Inc.",CHD,Consumer Defensive,16.78,14.26,,16.78,14.26,,0.16,1.76,0.57,94.44,94.44,0.0,3.08,32.43,32.43,5.58,15.1,15.1,0.2,2.2,1128824960.0,125.0,0.02,3.78,22.38,23.56
"Charter Communications, Inc.",CHTR,Communication Services,27.5,23.38,,27.5,23.38,,-0.8,7.12,4.6,119.33,119.33,0.0,0.26,3.71,3.71,1.03,24.75,24.75,-1.0,8.9,2403624960.0,0.0,-66.4,-61.82,-81.19,25.32
Realty Income Corporation,O,Real Estate,3.47,2.95,,2.83,2.41,,9.6,14.32,0.73,80.45,80.45,0.0,5.68,52.33,52.33,1.52,3.12,2.55,12.0,17.9,1797902592.0,509.0,10.97,25.96,24.74,33.16
"Marriott International, Inc.",MAR,Consumer Cyclical,14.65,12.45,,0.0,0.0,,10.08,1.36,0.0,82.11,82.11,0.0,2.22,39.05,39.05,-24.13,13.18,0.0,12.6,1.7,1796875008.0,78.0,33.96,116.01,177.05,25.44
SLB N.V.,SLB,Energy,14.07,11.96,,14.07,11.96,,2.16,-11.04,0.43,92.94,92.94,0.0,1.55,19.88,19.88,2.58,12.66,12.66,2.7,-13.8,3043124992.0,261.0,29.13,0.23,61.57,18.21
Bunge Global SA,BG,Consumer Defensive,4.93,4.19,,4.93,4.19,,70.24,-61.12,0.93,97.76,97.76,0.0,1.37,28.02,28.02,1.29,4.44,4.44,87.8,-76.4,-6827500032.0,271.0,42.23,26.48,56.82,23.56
Fair Isaac Corporation,FICO,Technology,55.38,47.07,,0.0,0.0,,30.96,55.2,0.0,98.43,98.43,0.0,0.85,40.32,40.32,-14.09,49.84,0.0,38.7,69.0,730540992.0,0.0,-32.04,61.31,145.95,37.83
PDD Holdings Inc.,PDD,Consumer Cyclical,25.4,21.59,,25.4,21.59,,8.8,-11.92,0.01,32.4,32.4,0.0,0.76,8.68,8.68,1.86,22.86,22.86,11.0,-14.9,71642849280.0,0.0,-21.72,17.35,-27.15,25.44
"Casey's General Stores, Inc.",CASY,Consumer Cyclical,19.15,16.28,,19.15,16.28,,11.6,52.8,0.74,89.6,89.6,0.0,3.44,41.66,41.66,7.45,17.24,17.24,14.5,66.0,550939648.0,30.0,51.55,243.76,324.53,25.44
"Leidos Holdings, Inc.",LDOS,Technology,30.58,25.99,,30.58,25.99,,2.96,-6.08,1.37,82.73,82.73,0.0,2.46,9.96,9.96,2.73,27.52,27.52,3.7,-7.6,1194749952.0,158.0,-33.82,29.94,14.49,37.83
STERIS plc,STE,Healthcare,11.37,9.66,,11.37,9.66,,5.84,41.76,0.29,101.03,101.03,0.0,1.76,27.55,27.55,2.97,10.23,10.23,7.3,52.2,837287488.0,115.0,-6.48,3.4,8.33,26.17
Ferrovial N.V.,FER,Industrials,14.32,12.17,,14.32,12.17,,4.56,-70.08,1.4,80.4,80.4,0.0,5.24,49.43,49.43,7.26,12.89,12.89,5.7,-87.6,321375008.0,245.0,28.94,138.41,152.71,32.32
Ameren Corporation,AEE,Utilities,11.75,9.98,,11.75,9.98,,2.96,15.68,1.56,86.67,86.67,0.0,2.67,20.69,20.69,2.35,10.57,10.57,3.7,19.6,-1869374976.0,261.0,19.9,56.07,63.61,22.42
"Simon Property Group, Inc.",SPG,Real Estate,113.59,96.55,,113.59,96.55,,15.44,13.12,4.57,96.78,96.78,0.0,4.58,15.72,15.72,15.21,102.23,102.23,19.3,16.4,2494690560.0,389.0,36.97,133.55,131.14,33.16
"Darden Restaurants, Inc.",DRI,Consumer Cyclical,53.72,45.66,,53.72,45.66,,10.96,28.8,3.62,99.5,99.5,0.0,1.82,19.57,19.57,10.58,48.35,48.35,13.7,36.0,1075412480.0,300.0,-5.42,39.0,61.67,25.44
Microchip Technology Incorporated,MCHP,Technology,3.4,2.89,,3.4,2.89,,28.08,9.6,0.88,102.5,102.5,0.0,0.31,384.73,384.73,7.13,3.06,3.06,35.1,12.0,1139912448.0,215.0,18.41,6.21,28.82,37.83
Deckers Outdoor Corporation,DECK,Consumer Cyclical,40.86,34.73,,40.86,34.73,,7.68,-3.84,0.15,101.05,101.05,0.0,1.3,14.91,14.91,5.86,36.77,36.77,9.6,-4.8,858725120.0,0.0,-1.0,20.77,62.16,25.44
"UDR, Inc.",UDR,Real Estate,12.35,10.5,,12.35,10.5,,3.36,121.28,1.42,112.62,112.62,0.0,8.17,27.95,27.95,4.13,11.12,11.12,4.2,151.6,1007130496.0,421.0,0.42,11.12,-0.7,33.16
Western Digital Corporation,WDC,Technology,85.92,73.03,,85.92,73.03,,36.4,386.32,0.18,101.82,101.82,0.0,0.48,32.26,32.26,25.77,77.33,77.33,45.5,482.9,2075000064.0,11.0,726.43,1792.63,935.95,37.83
Stryker Corporation,SYK,Healthcare,15.2,12.92,,15.2,12.92,,2.08,11.36,0.66,87.68,87.68,0.0,1.56,37.75,37.75,5.45,13.68,13.68,2.6,14.2,4359875072.0,108.0,-16.81,12.25,29.86,26.17
"Arista Networks, Inc.",ANET,Technology,31.52,26.79,,31.52,26.79,,28.08,20.0,0.0,90.04,90.04,0.0,2.04,54.98,54.98,14.94,28.37,28.37,35.1,25.0,4362237440.0,0.0,57.67,310.6,582.75,37.83
AbbVie Inc.,ABBV,Healthcare,15.05,12.79,,0.0,0.0,,9.92,-36.96,0.0,76.89,76.89,0.0,0.43,127.98,127.98,-69.3,13.54,0.0,12.4,-46.2,20811624448.0,265.0,39.14,119.39,172.11,26.17
Amgen Inc.,AMGN,Healthcare,101.32,86.12,,101.32,86.12,,4.64,3.52,6.24,85.41,85.41,0.0,2.05,26.04,26.04,21.97,91.19,91.19,5.8,4.4,7436624896.0,269.0,27.72,85.38,79.75,26.17
"MetLife, Inc.",MET,BFSI,13.01,11.06,,13.01,11.06,,2.16,28.72,1.78,94.92,94.92,0.0,0.48,17.42,17.42,2.13,11.71,11.71,2.7,35.9,-17429749760.0,263.0,13.74,79.76,78.05,17.06
"Airbnb, Inc.",ABNB,Consumer Cyclical,32.32,27.48,,32.32,27.48,,14.32,4.8,0.33,89.65,89.65,0.0,1.38,36.77,36.77,11.6,29.09,29.09,17.9,6.0,3191000064.0,0.0,8.71,16.69,0.38,25.44
Centene Corporation,CNC,Healthcare,1.83,1.56,,-26.04,-22.14,,4.08,14.64,0.76,101.08,101.08,0.0,1.31,15.16,15.16,1.56,1.65,-23.44,5.1,18.3,6847499776.0,0.0,105.33,2.66,-7.81,26.17
"West Pharmaceutical Services, Inc.",WST,Healthcare,19.13,16.26,,19.13,16.26,,16.8,44.88,0.11,104.63,104.63,0.0,3.52,48.77,48.77,8.67,17.22,17.22,21.0,56.1,275662496.0,24.0,65.13,-0.1,0.41,26.17
"Digital Realty Trust, Inc.",DLR,Real Estate,5.69,4.83,,5.69,4.83,,13.36,54.08,0.77,98.99,98.99,0.0,11.69,45.85,45.85,2.67,5.12,5.12,16.7,67.6,3278001664.0,282.0,0.97,73.58,34.95,33.16
"NVR, Inc.",NVR,Consumer Cyclical,33.26,28.27,,33.26,28.27,,-17.12,-22.8,0.31,94.9,94.9,0.0,4.97,16.47,16.47,5.28,29.93,29.93,-21.4,-28.5,1250691712.0,0.0,-10.88,6.94,30.18,25.44
Devon Energy Corporation,DVN,Energy,15.18,12.9,,15.18,12.9,,-0.64,-60.24,0.56,50.78,50.78,0.0,2.92,11.27,11.27,1.63,13.66,13.66,-0.8,-75.3,1600499968.0,257.0,23.84,-6.06,86.2,18.21
"Take-Two Interactive Software, Inc.",TTWO,Communication Services,-0.8,-0.68,,-10.56,-8.97,,4.88,9.6,0.84,95.11,95.11,0.0,3.56,25.58,25.58,13.47,-0.72,-9.5,6.1,12.0,1447787520.0,0.0,5.14,74.67,46.49,25.32
Royal Caribbean Cruises Ltd.,RCL,Consumer Cyclical,49.58,42.14,,49.58,42.14,,9.04,23.12,2.17,92.2,92.2,0.0,1.4,18.08,18.08,8.1,44.62,44.62,11.3,28.9,-194875008.0,169.0,-9.9,195.44,267.22,25.44
Loews Corporation,L,BFSI,9.22,7.83,,9.22,7.83,,1.12,-5.04,0.46,80.91,80.91,0.0,1.32,14.81,14.81,1.28,8.3,8.3,1.4,-6.3,2084000000.0,21.0,27.41,101.95,119.96,17.06
NBIS,NBIS,Communication Services,14.14,12.02,,14.14,12.02,,547.12,9.6,1.32,67.06,67.06,0.0,0.63,83.25,83.25,7.63,12.72,12.72,683.9,12.0,-6147975168.0,0.0,350.71,0.0,0.0,25.32
Equity Residential,EQR,Real Estate,8.67,7.37,,8.67,7.37,,2.0,-51.68,0.78,99.65,99.65,0.0,16.1,27.93,27.93,2.46,7.8,7.8,2.5,-64.6,1416540928.0,402.0,4.66,22.09,7.68,33.16
Entergy Corporation,ETR,Utilities,10.75,9.14,,10.75,9.14,,9.6,0.96,1.93,98.15,98.15,0.0,2.27,29.29,29.29,3.04,9.68,9.68,12.0,1.2,-3913097728.0,222.0,40.86,166.35,168.79,22.42
Norwegian Cruise Line Holdings Ltd.,NCLH,Consumer Cyclical,29.53,25.1,,29.53,25.1,,7.68,9.6,6.61,98.69,98.69,0.0,0.98,15.95,15.95,3.73,26.58,26.58,9.6,12.0,-1500744960.0,0.0,-7.79,-6.12,-29.51,25.44
"Mondelez International, Inc.",MDLZ,Consumer Defensive,10.16,8.64,,10.16,8.64,,6.56,33.04,0.84,90.23,90.23,0.0,1.0,30.15,30.15,3.04,9.14,9.14,8.2,41.3,2847500032.0,328.0,-11.49,-8.79,11.55,23.56
"Astera Labs, Inc.",ALAB,Technology,21.11,17.94,,21.11,17.94,,74.72,115.52,0.03,83.7,83.7,0.0,1.5,278.37,278.37,46.6,19.0,19.0,93.4,144.4,240004880.0,0.0,353.49,0.0,0.0,37.83
Sempra,SRE,Utilities,5.69,4.84,,5.69,4.84,,-3.12,10.96,0.85,93.78,93.78,0.0,0.83,31.65,31.65,1.89,5.12,5.12,-3.9,13.7,-28243374080.0,283.0,25.1,42.05,63.22,22.42
Arthur J. Gallagher & Co.,AJG,BFSI,7.01,5.96,,7.01,5.96,,27.68,12.96,0.56,94.96,94.96,0.0,0.83,40.85,40.85,2.73,6.31,6.31,34.6,16.2,1080225024.0,111.0,-20.13,23.17,88.71,17.06
"Fiserv, Inc.",FISV,Unknown,0.0,0.0,,0.0,0.0,,8.0,9.6,0.0,0.0,0.0,0.0,1.5,8.87,8.87,1.06,0.0,0.0,10.0,12.0,0.0,0.0,0.0,-57.25,-51.86,8.87
