Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
Jacobs Solutions Inc.,J,Industrials,9.38,7.97,,9.38,7.97,,21.6,9.6,1.39,92.94,92.94,0.0,0.4,37.73,37.73,4.59,8.44,8.44,27.0,12.0,512446368.0,113.0,-3.38,36.64,22.46,32.32
"IDEXX Laboratories, Inc.",IDXX,Healthcare,72.91,61.98,,72.91,61.98,,11.44,13.76,0.71,96.24,96.24,0.0,3.57,40.98,40.98,28.4,65.62,65.62,14.3,17.2,786844480.0,0.0,2.24,13.53,-15.36,26.17
"First Solar, Inc.",FSLR,Technology,18.44,15.67,,18.44,15.67,,18.88,52.08,0.06,99.85,99.85,0.0,0.59,14.52,14.52,2.44,16.59,16.59,23.6,65.1,1147664768.0,0.0,26.83,21.9,146.27,37.83
Vulcan Materials Company,VMC,Basic Materials,13.46,11.44,,13.46,11.44,,5.92,23.76,0.61,98.35,98.35,0.0,2.63,35.97,35.97,4.64,12.11,12.11,7.4,29.7,244387504.0,69.0,13.55,40.38,84.49,29.1
Extra Space Storage Inc.,EXR,Real Estate,6.83,5.81,,6.83,5.81,,3.04,-8.48,0.98,102.95,102.95,0.0,6.45,33.56,33.56,2.37,6.15,6.15,3.8,-10.6,1340995200.0,434.0,0.23,15.05,6.73,33.16
General Dynamics Corporation,GD,Industrials,17.97,15.28,,17.97,15.28,,8.24,9.6,0.38,88.13,88.13,0.0,2.78,23.52,23.52,3.87,16.18,16.18,10.3,12.0,5289500160.0,170.0,26.77,89.04,121.96,32.32
ASML Holding N.V.,ASML,Technology,52.24,44.4,,52.24,44.4,,10.56,15.36,0.13,19.62,19.62,0.0,2.65,60.24,60.24,1601.9,47.01,47.01,13.2,19.2,8243274752.0,50.0,125.37,150.7,170.03,37.83
QUALCOMM Incorporated,QCOM,Technology,36.08,30.67,,36.08,30.67,,-2.8,138.4,0.56,84.84,84.84,0.0,0.56,18.93,18.93,6.84,32.47,32.47,-3.5,173.0,9589624832.0,209.0,11.49,60.04,39.06,37.83
KeyCorp,KEY,BFSI,9.98,8.48,,9.98,8.48,,9.44,26.64,0.0,89.2,89.2,0.0,1.76,14.12,14.12,1.43,8.98,8.98,11.8,33.3,0.0,356.0,25.86,188.62,46.31,17.06
Insulet Corporation,PODD,Healthcare,23.0,19.55,,23.0,19.55,,27.12,127.2,0.78,105.95,105.95,0.0,1.45,38.43,38.43,8.75,20.7,20.7,33.9,159.0,253375008.0,0.0,-45.3,-44.16,-42.64,26.17
"BlackRock, Inc.",BLK,BFSI,11.9,10.11,,11.9,10.11,,21.6,36.72,0.24,86.11,86.11,0.0,1.26,25.06,25.06,2.73,10.71,10.71,27.0,45.9,7082375168.0,230.0,-7.46,55.69,25.83,17.06
Newmont Corporation,NEM,Basic Materials,25.83,21.96,,25.83,21.96,,36.64,62.88,0.16,81.57,81.57,0.0,2.78,12.59,12.59,2.98,23.25,23.25,45.8,78.6,9804874752.0,107.0,61.3,151.74,75.59,29.1
LyondellBasell Industries N.V.,LYB,Basic Materials,2.62,2.22,,-6.01,-5.11,,-5.04,-23.6,1.41,98.24,98.24,0.0,1.53,7.76,7.76,1.72,2.35,-5.41,-6.3,-29.5,987000000.0,772.0,-12.14,-29.08,-25.58,29.1
International Business Machines Corporation,IBM,Technology,35.77,30.41,,35.77,30.41,,7.6,11.36,2.11,65.63,65.63,0.0,2.7,25.64,25.64,8.25,32.19,32.19,9.5,14.2,13080750080.0,233.0,-1.01,142.06,165.36,37.83
The Boeing Company,BA,Industrials,169.95,144.45,,169.95,144.45,,11.2,9.6,8.29,75.45,75.45,0.0,24.54,89.17,89.17,29.84,152.95,152.95,14.0,12.0,2554249984.0,0.0,3.6,7.48,-4.09,32.32
Tractor Supply Company,TSCO,Consumer Cyclical,45.5,38.68,,45.5,38.68,,2.88,-6.48,2.55,95.65,95.65,0.0,1.41,15.65,15.65,6.64,40.95,40.95,3.6,-8.1,350726016.0,302.0,-44.05,-22.47,-6.94,25.44
"Autodesk, Inc.",ADSK,Technology,50.4,42.84,,50.4,42.84,,14.72,185.12,0.85,97.63,97.63,0.0,0.8,30.29,30.29,13.73,45.36,45.36,18.4,231.4,3060999936.0,0.0,-34.2,0.57,-29.81,37.83
"Tyler Technologies, Inc.",TYL,Technology,8.93,7.59,,8.93,7.59,,6.88,1.76,0.01,104.03,104.03,0.0,1.53,43.88,43.88,3.79,8.04,8.04,8.6,2.2,544489280.0,0.0,-46.06,-22.2,-32.53,37.83
Linde plc,LIN,Basic Materials,18.23,15.49,,18.23,15.49,,6.56,10.72,0.66,89.57,89.57,0.0,2.31,36.23,36.23,6.56,16.41,16.41,8.2,13.4,4694499840.0,117.0,16.41,51.49,102.76,29.1
Danaher Corporation,DHR,Healthcare,7.08,6.02,,7.08,6.02,,2.96,7.84,0.37,95.32,95.32,0.0,1.27,38.28,38.28,2.65,6.37,6.37,3.7,9.8,4568500224.0,81.0,-0.85,-3.16,-17.92,26.17
"Franklin Resources, Inc.",BEN,BFSI,6.7,5.7,,6.7,5.7,,6.96,69.76,0.23,100.07,100.07,0.0,0.41,26.04,26.04,1.46,6.03,6.03,8.7,87.2,-242137504.0,387.0,38.94,51.93,38.29,17.06
"Comfort Systems USA, Inc.",FIX,Industrials,53.29,45.3,,53.29,45.3,,0.8,31.04,0.45,97.96,97.96,0.0,0.83,50.25,50.25,94.87,47.96,47.96,1.0,38.8,1099853568.0,15.0,221.58,993.28,2234.0,32.32
"O'Reilly Automotive, Inc.",ORLY,Consumer Cyclical,20.71,17.61,,0.0,0.0,,8.16,12.88,0.0,89.66,89.66,0.0,1.93,29.4,29.4,-70.4,18.64,0.0,10.2,16.1,1330813184.0,0.0,-2.61,44.47,133.33,25.44
Kenvue Inc.,KVUE,Consumer Defensive,15.7,13.35,,15.7,13.35,,3.6,37.52,0.83,94.99,94.99,0.0,1.64,23.61,23.61,3.59,14.13,14.13,4.5,46.9,1858000000.0,419.0,-5.12,-13.16,0.0,23.56
