Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Return on capital employed,Return on equity,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Debt to equity,Promoter holding,Change in promoter holding 3Years,Change in promoter holding,Pledged percentage,PEG Ratio,Historical PE 5Years,Historical PE 3Years,Price to book value,Historical PBV 3Years,Historical PBV 5Years,Dividend Payout,Dividend Payout Ratio,Average dividend payout 3years,Average 5years dividend,Free cash flow 3years,Free cash flow 5years,Free cash flow preceding year,Free cash flow last year,Industry PE,EPS,Interest Coverage Ratio,Return over 1year,Return over 3years,Return over 5years
I R F C,543257,IRFC,INE053F01010,Finance,Financial Institution,90.57,16.89,118361.46,2.32,5.64,12.81,13.79,13.03,5.73,5.53,4.53,11.59,3.42,9.68,7.69,84.65,-1.71,-1.71,0.00,4.94,17.67,24.88,2.09,3.10,2.20,19.58,19.58,27.44,1842.66,-10905.28,-103908.78,8228.75,-27039.81,18.08,5.36,1.35,-34.95,39.38,30.05
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3334.80,49.97,164825.33,0.82,115.10,85.80,80.08,82.96,109.43,102.76,28.35,21.89,29.58,21.51,0.00,87.59,,0.00,0.00,1.69,2.06,2.06,39.52,38.49,38.49,153.24,153.24,103.47,2254.11,7039.14,9708.17,2162.42,3166.57,41.98,66.73,248.99,,,
ICICI Bank,532174,ICICIBANK,INE090A01021,Banks,Private Sector Bank,1411.40,18.68,1012484.13,0.78,7.20,16.08,17.02,17.43,7.56,6.91,17.26,16.97,16.83,24.14,5.69,0.00,0.00,0.00,0.00,1.11,19.10,18.28,2.80,3.06,3.08,15.85,15.85,15.69,6502.82,335554.04,385971.49,118099.86,63778.36,16.01,75.71,1.87,-2.18,13.79,16.85
ICICI Lombard,540716,ICICIGI,INE765G01017,Insurance,General Insurance,1772.80,34.32,88510.97,0.76,21.88,16.58,16.90,17.09,22.65,21.68,14.73,17.29,14.20,11.85,0.00,51.29,3.27,-0.02,0.00,2.42,39.40,37.63,5.31,6.31,6.39,24.28,24.28,25.74,553.50,5514.97,8422.08,918.06,2379.52,43.79,55.61,,-12.90,10.13,2.50
IDFC First Bank,539437,IDFCFIRSTB,INE092T01019,Banks,Private Sector Bank,80.46,42.36,69314.16,0.31,5.99,3.84,5.82,5.72,6.38,6.06,21.29,20.49,-12.43,30.20,7.04,0.00,-39.99,0.00,0.00,-3.41,21.65,21.48,1.47,1.46,1.49,13.14,13.14,8.38,79.62,29908.86,34486.18,13541.79,6177.97,16.01,1.90,1.09,3.31,0.05,8.12
Indian Bank,532814,INDIANB,INE562A01011,Banks,Public Sector Bank,798.95,9.19,107615.69,2.28,6.32,15.45,14.37,15.97,6.21,5.44,14.49,11.54,28.07,30.02,10.92,73.84,-6.02,0.00,0.00,0.33,7.52,8.09,1.34,1.23,1.01,21.00,21.00,19.88,1628.80,26200.45,26438.12,17048.00,18387.41,7.92,86.89,1.41,22.82,37.90,41.19
Indian Hotels Co,500850,INDHOTEL,INE053A01029,Leisure Services,Hotels & Resorts,728.60,60.15,103711.27,0.45,17.06,14.24,11.68,14.37,16.46,12.62,18.59,43.81,21.66,31.59,0.22,38.12,-0.07,0.00,0.00,2.78,64.19,63.78,7.95,9.21,8.30,22.19,22.19,19.59,246.16,3878.54,5456.49,1132.72,1443.85,29.98,14.64,12.82,-2.53,24.19,38.63
Indian Renewable,544026,IREDA,INE202E01016,Finance,Financial Institution,128.49,19.27,36095.81,0.47,8.69,15.58,16.46,16.82,9.12,8.72,33.62,25.63,29.39,40.15,5.65,71.76,,0.00,0.00,0.66,27.07,27.07,2.62,5.21,5.21,20.24,20.24,6.75,75.85,-40108.88,-57731.37,-14488.39,-14497.69,18.08,6.67,1.48,-22.91,,
Indus Towers,534816,INDUSTOWER,INE121J01017,Telecom - Services,Telecom - Infrastructure,383.30,14.15,101120.78,0.00,19.49,19.81,23.68,25.19,23.52,21.30,4.61,18.42,50.41,14.61,0.53,51.26,-17.74,0.23,0.00,0.28,12.56,13.65,2.55,3.09,3.08,51.69,51.69,17.23,1331.55,24309.60,35297.80,13387.90,7786.10,16.50,27.08,7.19,-9.80,33.01,10.22
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks,Private Sector Bank,974.35,85.36,75914.80,0.15,5.68,1.36,8.65,6.61,6.70,6.61,8.34,9.79,-50.75,-21.21,6.75,15.50,-0.38,0.06,42.78,-1.68,14.04,13.51,1.16,1.18,1.68,13.14,13.14,9.15,629.16,292.37,3555.96,17569.21,359.16,16.01,11.41,1.04,13.79,-11.37,-0.92
Info Edg.(India),532777,NAUKRI,INE663F01032,Retailing,Internet & Catalogue Retail,1034.65,47.13,67088.84,0.81,5.43,3.91,3.85,2.57,4.03,7.64,11.88,23.83,90.76,61.78,0.01,37.50,-0.55,-0.09,0.00,0.52,133.50,145.26,1.77,2.77,3.19,37.57,37.57,42.44,325.89,2468.83,3369.53,793.10,1002.77,24.41,22.36,76.92,-30.39,5.22,-1.13
Infosys,500209,INFY,INE009A01021,IT - Software,Computers - Software & Consulting,1047.20,14.12,424909.66,4.58,39.95,31.89,30.67,30.82,39.14,38.96,6.77,12.20,7.84,9.29,0.10,14.38,-0.76,-0.14,0.00,1.80,26.32,24.24,4.57,7.44,8.08,66.00,66.00,68.46,16677.64,87725.00,129337.00,33457.00,31259.00,21.52,72.59,99.34,-36.17,-8.06,-7.88
Interglobe Aviat,539448,INDIGO,INE646L01027,Transport Services,Airline,5426.50,,209819.69,0.18,6.71,-14.36,,,16.19,8.40,15.99,42.15,-18.59,12.72,13.21,41.57,-26.29,-0.01,0.00,,25.85,25.85,32.52,41.36,45.41,0.00,0.00,1.78,77.28,65416.00,79311.95,22846.50,21789.30,17.75,-64.73,0.94,-5.68,26.91,25.31
ITC,500875,ITC,INE154A01025,Diversified FMCG,Diversified FMCG,289.95,17.39,363291.93,5.00,38.91,29.32,32.18,35.24,37.36,36.91,3.60,9.87,2.97,9.62,0.03,0.00,0.00,0.00,0.00,5.86,24.55,25.71,5.01,7.27,6.96,87.81,87.81,74.47,17345.43,45579.44,75530.14,15523.76,16331.87,41.41,16.51,333.43,-29.72,-13.33,8.72
Jindal Steel,532286,JINDALSTEL,INE749A01030,Ferrous Metals,Iron & Steel,1054.00,26.67,107517.29,0.19,9.70,8.22,11.27,9.84,11.18,14.38,0.01,9.01,0.76,1.40,0.44,62.69,1.49,0.00,10.91,35.09,17.04,18.99,2.11,2.11,1.82,6.04,6.04,5.54,222.11,-4427.01,9693.90,334.27,-2343.02,18.04,33.01,4.48,10.60,19.05,21.74
Jio Financial,543940,JIOFIN,INE758E01017,Finance,Investment Company,239.35,102.79,158046.19,0.21,1.86,1.19,,1.23,1.62,1.62,327.91,,293.99,,0.16,49.13,,2.01,0.00,0.35,117.90,117.90,1.14,1.41,1.41,24.42,24.42,14.71,,-26347.65,,-10125.19,-15544.10,32.21,2.46,3.53,-26.34,,
JSW Energy,533148,JSWENERGY,INE121E01018,Power,Power Generation,550.20,46.24,100878.22,0.36,8.16,7.51,8.00,7.62,7.75,8.52,22.30,22.25,18.78,22.95,2.50,66.53,-8.13,-2.74,13.69,2.46,44.97,46.42,3.14,3.49,3.26,15.69,15.69,17.54,336.91,-4880.02,-6373.88,-2868.45,-213.15,24.73,12.74,1.33,7.46,22.17,26.60
JSW Steel,500228,JSWSTEEL,INE019A01038,Ferrous Metals,Iron & Steel,1230.20,33.05,300839.75,0.58,10.90,10.14,12.79,8.93,10.77,13.76,3.77,18.36,34.33,2.65,0.99,45.31,-0.09,-0.01,11.81,0.96,33.62,38.37,3.01,3.08,2.94,9.70,9.70,19.78,2298.35,15405.00,40201.00,8264.00,10610.00,18.04,91.26,2.31,18.13,15.82,12.83
Jubilant Food.,533155,JUBLFOOD,INE797F01020,Leisure Services,Restaurants,429.60,68.18,28346.95,0.28,14.59,18.92,16.83,14.14,12.96,15.25,22.63,23.49,4.84,11.82,2.14,40.28,-1.66,0.01,1.35,14.09,127.91,147.14,12.37,17.76,18.56,18.48,18.48,25.29,79.18,1847.89,2509.60,797.32,888.58,53.66,6.49,2.32,-39.50,-4.52,-7.33
Kalyan Jewellers,543278,KALYANKJIL,INE303R01014,Consumer Durables,"Gems, Jewellery And Watches",382.05,28.63,39455.84,0.39,20.52,24.80,16.59,19.28,16.53,14.42,36.44,33.05,44.48,195.14,0.97,62.86,2.31,0.10,24.85,0.64,46.19,69.26,6.25,10.44,7.04,19.12,19.12,20.49,117.60,2789.33,3770.63,789.64,938.76,17.95,13.08,5.26,-34.76,37.04,37.76
KEI Industries,517569,KEI,INE878B01027,Industrial Products,Cables - Electricals,5270.50,54.86,50386.29,0.09,20.07,14.75,17.05,16.19,22.86,23.67,19.34,22.95,24.38,27.43,0.04,35.00,-2.21,0.00,0.00,2.25,46.78,52.31,7.56,9.41,7.12,4.68,4.68,5.20,32.48,-928.11,-342.93,-726.46,-412.12,26.86,96.07,20.22,39.36,31.29,48.84
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036,Banks,Private Sector Bank,396.75,20.75,394635.69,0.13,6.93,11.23,13.73,13.67,7.66,7.22,18.30,16.28,8.43,13.80,3.66,25.87,-0.08,0.00,0.00,2.46,22.29,20.39,2.18,2.73,3.17,3.35,3.35,2.59,411.49,71051.07,76632.67,15767.64,40690.51,16.01,19.39,1.87,-6.86,2.08,2.76
